"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 16:08:51 GMT 2022","Thu Jan 20 16:08:51 GMT 2022","613","","a11y/Accessibility.spec.mjs","A11y","","","Register accessibility",""
"passed","Thu Jan 20 16:04:59 GMT 2022","Thu Jan 20 16:04:59 GMT 2022","18","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an authorised user","Render AddRecipe for an authorised user",""
"passed","Thu Jan 20 16:05:02 GMT 2022","Thu Jan 20 16:05:02 GMT 2022","41","","<App/>","","<App/>","Render app","Render app",""
"passed","Thu Jan 20 16:08:49 GMT 2022","Thu Jan 20 16:08:50 GMT 2022","1339","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Thu Jan 20 16:05:02 GMT 2022","Thu Jan 20 16:05:02 GMT 2022","22","","<Recipe/>","","<Recipe/>","Render Recipe","Render Recipe",""
"passed","Thu Jan 20 16:05:01 GMT 2022","Thu Jan 20 16:05:01 GMT 2022","22","","<Main/>","","<Main/>","Render Main for an unauthorised user","Render Main for an unauthorised user",""
"passed","Thu Jan 20 16:05:01 GMT 2022","Thu Jan 20 16:05:01 GMT 2022","25","","<Register/>","","<Register/>","Render Register","Render Register",""
"passed","Thu Jan 20 16:05:00 GMT 2022","Thu Jan 20 16:05:00 GMT 2022","24","","<Greeting/>","","<Greeting/>","Render Greeting for an unauthorised user","Render Greeting for an unauthorised user",""
"passed","Thu Jan 20 16:05:00 GMT 2022","Thu Jan 20 16:05:00 GMT 2022","11","","<Greeting/>","","<Greeting/>","Render Greeting for an authorised user","Render Greeting for an authorised user",""
"passed","Thu Jan 20 16:05:01 GMT 2022","Thu Jan 20 16:05:01 GMT 2022","65","","<Main/>","","<Main/>","Render Main for an authorised user","Render Main for an authorised user",""
"passed","Thu Jan 20 16:05:00 GMT 2022","Thu Jan 20 16:05:00 GMT 2022","4","","<RecipesService/>","","<RecipesService/>","currentUser","currentUser",""
"passed","Thu Jan 20 16:04:59 GMT 2022","Thu Jan 20 16:04:59 GMT 2022","23","","<Header/>","","<Header/>","Render Header for an unauthorised user","Render Header for an unauthorised user",""
"passed","Thu Jan 20 16:04:58 GMT 2022","Thu Jan 20 16:04:58 GMT 2022","6","","<Recipes/>","","<Recipes/>","Render empty Recipes","Render empty Recipes",""
"passed","Thu Jan 20 16:08:50 GMT 2022","Thu Jan 20 16:08:51 GMT 2022","606","","a11y/Accessibility.spec.mjs","A11y","","","Login accessibility",""
"passed","Thu Jan 20 16:05:01 GMT 2022","Thu Jan 20 16:05:01 GMT 2022","27","","<Login/>","","<Login/>","Render Login","Render Login",""
"passed","Thu Jan 20 16:05:00 GMT 2022","Thu Jan 20 16:05:00 GMT 2022","2","","<RecipesService/>","","<RecipesService/>","getRecipes","getRecipes",""
"passed","Thu Jan 20 16:04:59 GMT 2022","Thu Jan 20 16:04:59 GMT 2022","14","","<Header/>","","<Header/>","Render Header for an authorised user","Render Header for an authorised user",""
"passed","Thu Jan 20 16:08:51 GMT 2022","Thu Jan 20 16:08:53 GMT 2022","1155","","Recipes.spec.mjs","Recipes","","","Add Recipe",""
"passed","Thu Jan 20 16:08:53 GMT 2022","Thu Jan 20 16:08:54 GMT 2022","1069","","Register.spec.mjs","Register","","","Register, Logout, Login, check session",""
"passed","Thu Jan 20 16:04:59 GMT 2022","Thu Jan 20 16:04:59 GMT 2022","29","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an unauthorised user","Render AddRecipe for an unauthorised user",""
"passed","Thu Jan 20 16:04:58 GMT 2022","Thu Jan 20 16:04:58 GMT 2022","60","","<Recipes/>","","<Recipes/>","Render Recipes","Render Recipes",""
"passed","Thu Jan 20 16:05:03 GMT 2022","Thu Jan 20 16:05:03 GMT 2022","16","","<NotFound/>","","<NotFound/>","Render NotFound","Render NotFound",""
