"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 15:52:48 GMT 2022","Thu Jan 20 15:52:48 GMT 2022","23","","<Recipe/>","","<Recipe/>","Render Recipe","Render Recipe",""
"passed","Thu Jan 20 15:52:46 GMT 2022","Thu Jan 20 15:52:46 GMT 2022","69","","<Main/>","","<Main/>","Render Main for an authorised user","Render Main for an authorised user",""
"passed","Thu Jan 20 15:52:47 GMT 2022","Thu Jan 20 15:52:47 GMT 2022","42","","<App/>","","<App/>","Render app","Render app",""
"passed","Thu Jan 20 15:52:45 GMT 2022","Thu Jan 20 15:52:45 GMT 2022","6","","<RecipesService/>","","<RecipesService/>","getRecipes","getRecipes",""
"passed","Thu Jan 20 15:52:48 GMT 2022","Thu Jan 20 15:52:48 GMT 2022","19","","<NotFound/>","","<NotFound/>","Render NotFound","Render NotFound",""
"passed","Thu Jan 20 15:52:44 GMT 2022","Thu Jan 20 15:52:44 GMT 2022","16","","<Header/>","","<Header/>","Render Header for an authorised user","Render Header for an authorised user",""
"passed","Thu Jan 20 15:56:49 GMT 2022","Thu Jan 20 15:56:51 GMT 2022","1476","","Register.spec.mjs","Register","","","Register, Logout, Login, check session",""
"passed","Thu Jan 20 15:56:45 GMT 2022","Thu Jan 20 15:56:47 GMT 2022","1522","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Thu Jan 20 15:52:45 GMT 2022","Thu Jan 20 15:52:45 GMT 2022","23","","<Greeting/>","","<Greeting/>","Render Greeting for an unauthorised user","Render Greeting for an unauthorised user",""
"passed","Thu Jan 20 15:52:47 GMT 2022","Thu Jan 20 15:52:47 GMT 2022","34","","<Login/>","","<Login/>","Render Login","Render Login",""
"passed","Thu Jan 20 15:52:44 GMT 2022","Thu Jan 20 15:52:44 GMT 2022","22","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an authorised user","Render AddRecipe for an authorised user",""
"passed","Thu Jan 20 15:56:47 GMT 2022","Thu Jan 20 15:56:48 GMT 2022","729","","a11y/Accessibility.spec.mjs","A11y","","","Register accessibility",""
"passed","Thu Jan 20 15:52:43 GMT 2022","Thu Jan 20 15:52:43 GMT 2022","71","","<Recipes/>","","<Recipes/>","Render Recipes","Render Recipes",""
"passed","Thu Jan 20 15:52:46 GMT 2022","Thu Jan 20 15:52:46 GMT 2022","30","","<Main/>","","<Main/>","Render Main for an unauthorised user","Render Main for an unauthorised user",""
"passed","Thu Jan 20 15:52:43 GMT 2022","Thu Jan 20 15:52:43 GMT 2022","7","","<Recipes/>","","<Recipes/>","Render empty Recipes","Render empty Recipes",""
"passed","Thu Jan 20 15:56:47 GMT 2022","Thu Jan 20 15:56:47 GMT 2022","735","","a11y/Accessibility.spec.mjs","A11y","","","Login accessibility",""
"passed","Thu Jan 20 15:52:46 GMT 2022","Thu Jan 20 15:52:46 GMT 2022","31","","<Register/>","","<Register/>","Render Register","Render Register",""
"passed","Thu Jan 20 15:52:44 GMT 2022","Thu Jan 20 15:52:44 GMT 2022","35","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an unauthorised user","Render AddRecipe for an unauthorised user",""
"passed","Thu Jan 20 15:52:45 GMT 2022","Thu Jan 20 15:52:45 GMT 2022","27","","<Greeting/>","","<Greeting/>","Render Greeting for an authorised user","Render Greeting for an authorised user",""
"passed","Thu Jan 20 15:52:45 GMT 2022","Thu Jan 20 15:52:45 GMT 2022","8","","<RecipesService/>","","<RecipesService/>","currentUser","currentUser",""
"passed","Thu Jan 20 15:52:44 GMT 2022","Thu Jan 20 15:52:44 GMT 2022","29","","<Header/>","","<Header/>","Render Header for an unauthorised user","Render Header for an unauthorised user",""
"passed","Thu Jan 20 15:56:48 GMT 2022","Thu Jan 20 15:56:49 GMT 2022","1250","","Recipes.spec.mjs","Recipes","","","Add Recipe",""
