"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 16:43:30 GMT 2022","Thu Jan 20 16:43:30 GMT 2022","98","","<Main/>","","<Main/>","Render Main for an authorised user","Render Main for an authorised user",""
"passed","Thu Jan 20 16:43:27 GMT 2022","Thu Jan 20 16:43:27 GMT 2022","39","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an unauthorised user","Render AddRecipe for an unauthorised user",""
"passed","Thu Jan 20 16:43:28 GMT 2022","Thu Jan 20 16:43:28 GMT 2022","22","","<Header/>","","<Header/>","Render Header for an authorised user","Render Header for an authorised user",""
"passed","Thu Jan 20 16:47:13 GMT 2022","Thu Jan 20 16:47:14 GMT 2022","1134","","Recipes.spec.mjs","Recipes","","","Add Recipe",""
"passed","Thu Jan 20 16:43:29 GMT 2022","Thu Jan 20 16:43:29 GMT 2022","19","","<RecipesService/>","","<RecipesService/>","currentUser","currentUser",""
"passed","Thu Jan 20 16:43:27 GMT 2022","Thu Jan 20 16:43:27 GMT 2022","24","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an authorised user","Render AddRecipe for an authorised user",""
"passed","Thu Jan 20 16:43:28 GMT 2022","Thu Jan 20 16:43:28 GMT 2022","35","","<Header/>","","<Header/>","Render Header for an unauthorised user","Render Header for an unauthorised user",""
"passed","Thu Jan 20 16:47:12 GMT 2022","Thu Jan 20 16:47:12 GMT 2022","667","","a11y/Accessibility.spec.mjs","A11y","","","Login accessibility",""
"passed","Thu Jan 20 16:43:31 GMT 2022","Thu Jan 20 16:43:31 GMT 2022","40","","<Login/>","","<Login/>","Render Login","Render Login",""
"passed","Thu Jan 20 16:43:30 GMT 2022","Thu Jan 20 16:43:30 GMT 2022","32","","<Register/>","","<Register/>","Render Register","Render Register",""
"passed","Thu Jan 20 16:43:29 GMT 2022","Thu Jan 20 16:43:29 GMT 2022","26","","<Greeting/>","","<Greeting/>","Render Greeting for an unauthorised user","Render Greeting for an unauthorised user",""
"passed","Thu Jan 20 16:47:12 GMT 2022","Thu Jan 20 16:47:13 GMT 2022","651","","a11y/Accessibility.spec.mjs","A11y","","","Register accessibility",""
"passed","Thu Jan 20 16:43:33 GMT 2022","Thu Jan 20 16:43:33 GMT 2022","30","","<NotFound/>","","<NotFound/>","Render NotFound","Render NotFound",""
"passed","Thu Jan 20 16:43:32 GMT 2022","Thu Jan 20 16:43:32 GMT 2022","44","","<App/>","","<App/>","Render app","Render app",""
"passed","Thu Jan 20 16:47:14 GMT 2022","Thu Jan 20 16:47:16 GMT 2022","1329","","Register.spec.mjs","Register","","","Register, Logout, Login, check session",""
"passed","Thu Jan 20 16:47:10 GMT 2022","Thu Jan 20 16:47:12 GMT 2022","1386","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Thu Jan 20 16:43:29 GMT 2022","Thu Jan 20 16:43:29 GMT 2022","3","","<RecipesService/>","","<RecipesService/>","getRecipes","getRecipes",""
"passed","Thu Jan 20 16:43:29 GMT 2022","Thu Jan 20 16:43:29 GMT 2022","14","","<Greeting/>","","<Greeting/>","Render Greeting for an authorised user","Render Greeting for an authorised user",""
"passed","Thu Jan 20 16:43:27 GMT 2022","Thu Jan 20 16:43:27 GMT 2022","88","","<Recipes/>","","<Recipes/>","Render Recipes","Render Recipes",""
"passed","Thu Jan 20 16:43:30 GMT 2022","Thu Jan 20 16:43:30 GMT 2022","35","","<Main/>","","<Main/>","Render Main for an unauthorised user","Render Main for an unauthorised user",""
"passed","Thu Jan 20 16:43:27 GMT 2022","Thu Jan 20 16:43:27 GMT 2022","9","","<Recipes/>","","<Recipes/>","Render empty Recipes","Render empty Recipes",""
"passed","Thu Jan 20 16:43:32 GMT 2022","Thu Jan 20 16:43:32 GMT 2022","24","","<Recipe/>","","<Recipe/>","Render Recipe","Render Recipe",""
