"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 16:57:16 GMT 2022","Thu Jan 20 16:57:16 GMT 2022","623","","a11y/Accessibility.spec.mjs","A11y","","","Login accessibility",""
"passed","Thu Jan 20 16:57:18 GMT 2022","Thu Jan 20 16:57:19 GMT 2022","1193","","Register.spec.mjs","Register","","","Register, Logout, Login, check session",""
"passed","Thu Jan 20 16:53:47 GMT 2022","Thu Jan 20 16:53:47 GMT 2022","23","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an authorised user","Render AddRecipe for an authorised user",""
"passed","Thu Jan 20 16:53:49 GMT 2022","Thu Jan 20 16:53:49 GMT 2022","31","","<Register/>","","<Register/>","Render Register","Render Register",""
"passed","Thu Jan 20 16:53:50 GMT 2022","Thu Jan 20 16:53:50 GMT 2022","34","","<Login/>","","<Login/>","Render Login","Render Login",""
"passed","Thu Jan 20 16:53:47 GMT 2022","Thu Jan 20 16:53:47 GMT 2022","41","","<Header/>","","<Header/>","Render Header for an unauthorised user","Render Header for an unauthorised user",""
"passed","Thu Jan 20 16:53:46 GMT 2022","Thu Jan 20 16:53:46 GMT 2022","73","","<Recipes/>","","<Recipes/>","Render Recipes","Render Recipes",""
"passed","Thu Jan 20 16:53:47 GMT 2022","Thu Jan 20 16:53:47 GMT 2022","23","","<Header/>","","<Header/>","Render Header for an authorised user","Render Header for an authorised user",""
"passed","Thu Jan 20 16:57:16 GMT 2022","Thu Jan 20 16:57:17 GMT 2022","601","","a11y/Accessibility.spec.mjs","A11y","","","Register accessibility",""
"passed","Thu Jan 20 16:53:46 GMT 2022","Thu Jan 20 16:53:46 GMT 2022","8","","<Recipes/>","","<Recipes/>","Render empty Recipes","Render empty Recipes",""
"passed","Thu Jan 20 16:53:48 GMT 2022","Thu Jan 20 16:53:48 GMT 2022","2","","<RecipesService/>","","<RecipesService/>","getRecipes","getRecipes",""
"passed","Thu Jan 20 16:53:51 GMT 2022","Thu Jan 20 16:53:51 GMT 2022","24","","<Recipe/>","","<Recipe/>","Render Recipe","Render Recipe",""
"passed","Thu Jan 20 16:57:14 GMT 2022","Thu Jan 20 16:57:16 GMT 2022","1367","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Thu Jan 20 16:53:48 GMT 2022","Thu Jan 20 16:53:48 GMT 2022","22","","<Greeting/>","","<Greeting/>","Render Greeting for an authorised user","Render Greeting for an authorised user",""
"passed","Thu Jan 20 16:53:48 GMT 2022","Thu Jan 20 16:53:48 GMT 2022","5","","<RecipesService/>","","<RecipesService/>","currentUser","currentUser",""
"passed","Thu Jan 20 16:53:46 GMT 2022","Thu Jan 20 16:53:47 GMT 2022","37","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an unauthorised user","Render AddRecipe for an unauthorised user",""
"passed","Thu Jan 20 16:53:49 GMT 2022","Thu Jan 20 16:53:49 GMT 2022","26","","<Main/>","","<Main/>","Render Main for an unauthorised user","Render Main for an unauthorised user",""
"passed","Thu Jan 20 16:53:49 GMT 2022","Thu Jan 20 16:53:49 GMT 2022","87","","<Main/>","","<Main/>","Render Main for an authorised user","Render Main for an authorised user",""
"passed","Thu Jan 20 16:53:52 GMT 2022","Thu Jan 20 16:53:52 GMT 2022","19","","<NotFound/>","","<NotFound/>","Render NotFound","Render NotFound",""
"passed","Thu Jan 20 16:57:17 GMT 2022","Thu Jan 20 16:57:18 GMT 2022","1101","","Recipes.spec.mjs","Recipes","","","Add Recipe",""
"passed","Thu Jan 20 16:53:48 GMT 2022","Thu Jan 20 16:53:48 GMT 2022","26","","<Greeting/>","","<Greeting/>","Render Greeting for an unauthorised user","Render Greeting for an unauthorised user",""
"passed","Thu Jan 20 16:53:51 GMT 2022","Thu Jan 20 16:53:51 GMT 2022","46","","<App/>","","<App/>","Render app","Render app",""
