"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 15:43:17 GMT 2022","Thu Jan 20 15:43:17 GMT 2022","669","","a11y/Accessibility.spec.mjs","A11y","","","Register accessibility",""
"passed","Thu Jan 20 15:39:50 GMT 2022","Thu Jan 20 15:39:50 GMT 2022","44","","<App/>","","<App/>","Render app","Render app",""
"passed","Thu Jan 20 15:39:49 GMT 2022","Thu Jan 20 15:39:49 GMT 2022","26","","<Register/>","","<Register/>","Render Register","Render Register",""
"passed","Thu Jan 20 15:39:49 GMT 2022","Thu Jan 20 15:39:49 GMT 2022","35","","<Login/>","","<Login/>","Render Login","Render Login",""
"passed","Thu Jan 20 15:39:47 GMT 2022","Thu Jan 20 15:39:47 GMT 2022","23","","<Header/>","","<Header/>","Render Header for an authorised user","Render Header for an authorised user",""
"passed","Thu Jan 20 15:43:16 GMT 2022","Thu Jan 20 15:43:17 GMT 2022","618","","a11y/Accessibility.spec.mjs","A11y","","","Login accessibility",""
"passed","Thu Jan 20 15:39:46 GMT 2022","Thu Jan 20 15:39:46 GMT 2022","6","","<Recipes/>","","<Recipes/>","Render empty Recipes","Render empty Recipes",""
"passed","Thu Jan 20 15:39:47 GMT 2022","Thu Jan 20 15:39:47 GMT 2022","29","","<Header/>","","<Header/>","Render Header for an unauthorised user","Render Header for an unauthorised user",""
"passed","Thu Jan 20 15:39:47 GMT 2022","Thu Jan 20 15:39:47 GMT 2022","30","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an unauthorised user","Render AddRecipe for an unauthorised user",""
"passed","Thu Jan 20 15:43:18 GMT 2022","Thu Jan 20 15:43:20 GMT 2022","1332","","Register.spec.mjs","Register","","","Register, Logout, Login, check session",""
"passed","Thu Jan 20 15:39:48 GMT 2022","Thu Jan 20 15:39:48 GMT 2022","4","","<RecipesService/>","","<RecipesService/>","currentUser","currentUser",""
"passed","Thu Jan 20 15:43:17 GMT 2022","Thu Jan 20 15:43:18 GMT 2022","1149","","Recipes.spec.mjs","Recipes","","","Add Recipe",""
"passed","Thu Jan 20 15:39:48 GMT 2022","Thu Jan 20 15:39:48 GMT 2022","10","","<Greeting/>","","<Greeting/>","Render Greeting for an authorised user","Render Greeting for an authorised user",""
"passed","Thu Jan 20 15:39:51 GMT 2022","Thu Jan 20 15:39:51 GMT 2022","16","","<NotFound/>","","<NotFound/>","Render NotFound","Render NotFound",""
"passed","Thu Jan 20 15:39:48 GMT 2022","Thu Jan 20 15:39:48 GMT 2022","21","","<Main/>","","<Main/>","Render Main for an unauthorised user","Render Main for an unauthorised user",""
"passed","Thu Jan 20 15:43:15 GMT 2022","Thu Jan 20 15:43:16 GMT 2022","1374","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Thu Jan 20 15:39:48 GMT 2022","Thu Jan 20 15:39:48 GMT 2022","66","","<Main/>","","<Main/>","Render Main for an authorised user","Render Main for an authorised user",""
"passed","Thu Jan 20 15:39:46 GMT 2022","Thu Jan 20 15:39:46 GMT 2022","60","","<Recipes/>","","<Recipes/>","Render Recipes","Render Recipes",""
"passed","Thu Jan 20 15:39:48 GMT 2022","Thu Jan 20 15:39:48 GMT 2022","21","","<Greeting/>","","<Greeting/>","Render Greeting for an unauthorised user","Render Greeting for an unauthorised user",""
"passed","Thu Jan 20 15:39:48 GMT 2022","Thu Jan 20 15:39:48 GMT 2022","1","","<RecipesService/>","","<RecipesService/>","getRecipes","getRecipes",""
"passed","Thu Jan 20 15:39:47 GMT 2022","Thu Jan 20 15:39:47 GMT 2022","19","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an authorised user","Render AddRecipe for an authorised user",""
"passed","Thu Jan 20 15:39:50 GMT 2022","Thu Jan 20 15:39:50 GMT 2022","19","","<Recipe/>","","<Recipe/>","Render Recipe","Render Recipe",""
