"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 15:19:21 GMT 2022","Thu Jan 20 15:19:23 GMT 2022","1296","","Register.spec.mjs","Register","","","Register, Logout, Login, check session",""
"passed","Thu Jan 20 15:15:39 GMT 2022","Thu Jan 20 15:15:39 GMT 2022","29","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an unauthorised user","Render AddRecipe for an unauthorised user",""
"passed","Thu Jan 20 15:19:19 GMT 2022","Thu Jan 20 15:19:19 GMT 2022","645","","a11y/Accessibility.spec.mjs","A11y","","","Login accessibility",""
"passed","Thu Jan 20 15:15:43 GMT 2022","Thu Jan 20 15:15:43 GMT 2022","19","","<Recipe/>","","<Recipe/>","Render Recipe","Render Recipe",""
"passed","Thu Jan 20 15:15:39 GMT 2022","Thu Jan 20 15:15:39 GMT 2022","54","","<Recipes/>","","<Recipes/>","Render Recipes","Render Recipes",""
"passed","Thu Jan 20 15:15:42 GMT 2022","Thu Jan 20 15:15:42 GMT 2022","34","","<App/>","","<App/>","Render app","Render app",""
"passed","Thu Jan 20 15:19:19 GMT 2022","Thu Jan 20 15:19:20 GMT 2022","633","","a11y/Accessibility.spec.mjs","A11y","","","Register accessibility",""
"passed","Thu Jan 20 15:15:40 GMT 2022","Thu Jan 20 15:15:40 GMT 2022","22","","<Header/>","","<Header/>","Render Header for an authorised user","Render Header for an authorised user",""
"passed","Thu Jan 20 15:15:41 GMT 2022","Thu Jan 20 15:15:41 GMT 2022","64","","<Main/>","","<Main/>","Render Main for an authorised user","Render Main for an authorised user",""
"passed","Thu Jan 20 15:15:41 GMT 2022","Thu Jan 20 15:15:41 GMT 2022","1","","<RecipesService/>","","<RecipesService/>","getRecipes","getRecipes",""
"passed","Thu Jan 20 15:15:42 GMT 2022","Thu Jan 20 15:15:42 GMT 2022","30","","<Login/>","","<Login/>","Render Login","Render Login",""
"passed","Thu Jan 20 15:19:20 GMT 2022","Thu Jan 20 15:19:21 GMT 2022","1147","","Recipes.spec.mjs","Recipes","","","Add Recipe",""
"passed","Thu Jan 20 15:15:39 GMT 2022","Thu Jan 20 15:15:39 GMT 2022","6","","<Recipes/>","","<Recipes/>","Render empty Recipes","Render empty Recipes",""
"passed","Thu Jan 20 15:19:17 GMT 2022","Thu Jan 20 15:19:19 GMT 2022","1392","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Thu Jan 20 15:15:40 GMT 2022","Thu Jan 20 15:15:40 GMT 2022","16","","<Greeting/>","","<Greeting/>","Render Greeting for an authorised user","Render Greeting for an authorised user",""
"passed","Thu Jan 20 15:15:41 GMT 2022","Thu Jan 20 15:15:41 GMT 2022","21","","<Main/>","","<Main/>","Render Main for an unauthorised user","Render Main for an unauthorised user",""
"passed","Thu Jan 20 15:15:40 GMT 2022","Thu Jan 20 15:15:40 GMT 2022","24","","<Header/>","","<Header/>","Render Header for an unauthorised user","Render Header for an unauthorised user",""
"passed","Thu Jan 20 15:15:41 GMT 2022","Thu Jan 20 15:15:41 GMT 2022","5","","<RecipesService/>","","<RecipesService/>","currentUser","currentUser",""
"passed","Thu Jan 20 15:15:40 GMT 2022","Thu Jan 20 15:15:40 GMT 2022","23","","<Greeting/>","","<Greeting/>","Render Greeting for an unauthorised user","Render Greeting for an unauthorised user",""
"passed","Thu Jan 20 15:15:41 GMT 2022","Thu Jan 20 15:15:41 GMT 2022","26","","<Register/>","","<Register/>","Render Register","Render Register",""
"passed","Thu Jan 20 15:15:39 GMT 2022","Thu Jan 20 15:15:39 GMT 2022","29","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an authorised user","Render AddRecipe for an authorised user",""
"passed","Thu Jan 20 15:15:43 GMT 2022","Thu Jan 20 15:15:43 GMT 2022","16","","<NotFound/>","","<NotFound/>","Render NotFound","Render NotFound",""
